genome,strain_name,name,species,fromtype,wgs,isolation_source
GCF_002993465.1,IG2,Lactobacillus pentosus (firmicutes),Lactobacillus pentosus,,PVOB01,brines of olives
GCF_002993425.1,IG3,Lactobacillus pentosus (firmicutes),Lactobacillus pentosus,,PVOA01,brines of olives
GCF_002993435.1,IG5,Lactobacillus pentosus (firmicutes),Lactobacillus pentosus,,PVNY01,brines of olives
GCF_002993395.1,IG7,Lactobacillus pentosus (firmicutes),Lactobacillus pentosus,,PVNW01,brines of olives
GCF_003046115.1,LR2,Lactobacillus rhamnosus (firmicutes),Lactobacillus rhamnosus,,PZQM01,sourdough
GCF_003046095.1,PFC-70,Lactobacillus sp. PFC-70 (firmicutes),Lactobacillus sp. PFC-70,,PZQL01,sourdough
GCF_003046075.1,PFC-311,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,PZQK01,sourdough
GCF_003046055.1,LR5A,Lactobacillus reuteri (firmicutes),Lactobacillus reuteri,,PZQN01,sourdough
GCF_003034905.1,AVK,Lactobacillus delbrueckii (firmicutes),Lactobacillus delbrueckii,,PZKI01,dairy product (yogurt)
GCF_003028835.1,D1501,Lactobacillus sp. D1501 (firmicutes),Lactobacillus sp. D1501,,,plant
GCF_003025075.1,SB3,Oenococcus oeni (firmicutes),Oenococcus oeni,,MEHP01,Commercial Strain
GCF_003025055.1,A90,Oenococcus oeni (firmicutes),Oenococcus oeni,,MDWO01,missing
GCF_003023825.1,JDARSH,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,PYBS01,milk sample
GCF_003020005.1,K25,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,,
GCF_003052985.1,DS3_11,Lactobacillus rhamnosus (firmicutes),Lactobacillus rhamnosus,,QAZJ01,Commercial dietary supplements
GCF_003052965.1,DS4_11,Lactobacillus rhamnosus (firmicutes),Lactobacillus rhamnosus,,QAZI01,Commercial dietary supplements
GCF_003052945.1,DS13_11,Lactobacillus rhamnosus (firmicutes),Lactobacillus rhamnosus,,QAZK01,Commercial dietary supplements
GCF_003052925.1,DS18_11,Lactobacillus rhamnosus (firmicutes),Lactobacillus rhamnosus,,QAZH01,Commercial dietary supplements
GCF_003052865.1,DS1_13,Lactobacillus casei (firmicutes),Lactobacillus casei,,QAZD01,Commercial dietary supplements
GCF_003052855.1,DS13_13,Lactobacillus casei (firmicutes),Lactobacillus casei,,QAZE01,Commercial dietary supplements
GCF_003052845.1,DS3_12,Lactobacillus salivarius (firmicutes),Lactobacillus salivarius,,QAZF01,Commercial dietary supplements
GCF_003052875.1,DS13_12,Lactobacillus salivarius (firmicutes),Lactobacillus salivarius,,QAZG01,Commercial dietary supplements
GCF_003047065.1,DSM 20079,Lactobacillus acidophilus (firmicutes),Lactobacillus acidophilus,assembly from type material,,
GCF_003046135.1,E81,Lactobacillus reuteri (firmicutes),Lactobacillus reuteri,,PZQO01,sourdough
GCF_003053185.1,DS13_9,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,QAZS01,Commercial dietary supplements
GCF_003053165.1,DS3_9,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,QAZR01,Commercial dietary supplements
GCF_003053125.1,DS1_5,Lactobacillus brevis (firmicutes),Lactobacillus brevis,,QAZW01,Commercial dietary supplements
GCF_003053135.1,DS24_1,Lactobacillus acidophilus (firmicutes),Lactobacillus acidophilus,,QAZX01,Commercial dietary supplements
GCF_003053105.1,DS19_7,Lactobacillus fermentum (firmicutes),Lactobacillus fermentum,,QAZV01,Commercial dietary supplements
GCF_003053085.1,DS3_8,Lactobacillus helveticus (firmicutes),Lactobacillus helveticus,,QAZU01,Commercial dietary supplements
GCF_003053045.1,DS23_9,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,QAZP01,Commercial dietary supplements
GCF_003053025.1,DS8_9,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,QAZQ01,Commercial dietary supplements
GCF_003053035.1,DS18_9,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,QAZO01,Commercial dietary supplements
GCF_003053005.1,DS12_10,Lactobacillus reuteri (firmicutes),Lactobacillus reuteri,,QAZN01,Commercial dietary supplements
GCF_003061605.1,DS22_11,Lactobacillus rhamnosus (firmicutes),Lactobacillus rhamnosus,,QAGX01,Commercial dietary supplements
GCF_003061625.1,DS9_11,Lactobacillus rhamnosus (firmicutes),Lactobacillus rhamnosus,,QAGY01,Commercial dietary supplements
GCF_003061585.1,DS2_12,Lactobacillus salivarius (firmicutes),Lactobacillus salivarius,,QAGU01,Commercial dietary supplements
GCF_003061565.1,DS17_11,Lactobacillus rhamnosus (firmicutes),Lactobacillus rhamnosus,,QAGW01,Commercial dietary supplements
GCF_003061545.1,DS11_12,Lactobacillus salivarius (firmicutes),Lactobacillus salivarius,,QAGV01,Commercial dietary supplements
GCF_003060705.1,DM9218,Lactobacillus brevis (firmicutes),Lactobacillus brevis,,QAJZ01,sauerkraut
GCF_003053265.1,DS13_6,Lactobacillus sp. DS13_6 (firmicutes),Lactobacillus sp. DS13_6,,QBAA01,Commercial dietary supplements
GCF_003053245.1,DS10_1A,Lactobacillus acidophilus (firmicutes),Lactobacillus acidophilus,,QAZY01,Commercial dietary supplements
GCF_003053225.1,DS18_6,Lactobacillus sp. DS18_6 (firmicutes),Lactobacillus sp. DS18_6,,QAZZ01,Commercial dietary supplements
GCF_003053205.1,DS18_8,Lactobacillus helveticus (firmicutes),Lactobacillus helveticus,,QAZT01,Commercial dietary supplements
GCF_003061825.1,DS21_8,Lactobacillus helveticus (firmicutes),Lactobacillus helveticus,,QAHI01,Commercial dietary supplements
GCF_003061785.1,DS9_9,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,QAHE01,Commercial dietary supplements
GCF_003061805.1,DS11_9,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,QAHH01,Commercial dietary supplements
GCF_003061765.1,DS14_9,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,QAHG01,Commercial dietary supplements
GCF_003061745.1,DS13_10,Lactobacillus reuteri (firmicutes),Lactobacillus reuteri,,QAHD01,Commercial dietary supplements
GCF_003061725.1,DS6_9,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,QAHF01,Commercial dietary supplements
GCF_003061705.1,DS14_11,Lactobacillus rhamnosus (firmicutes),Lactobacillus rhamnosus,,QAHA01,Commercial dietary supplements
GCF_003061685.1,DS14_10,Lactobacillus reuteri (firmicutes),Lactobacillus reuteri,,QAHC01,Commercial dietary supplements
GCF_003061665.1,DS12_11,Lactobacillus rhamnosus (firmicutes),Lactobacillus rhamnosus,,QAHB01,Commercial dietary supplements
GCF_003061645.1,DS15_11,Lactobacillus rhamnosus (firmicutes),Lactobacillus rhamnosus,,QAGZ01,Commercial dietary supplements
GCF_003062025.1,DS11_1A,Lactobacillus acidophilus (firmicutes),Lactobacillus acidophilus,,QAHS01,Commercial dietary supplements
GCF_003062005.1,DS2_1A,Lactobacillus acidophilus (firmicutes),Lactobacillus acidophilus,,QAHQ01,Commercial dietary supplements
GCF_003061965.1,DS13_1A,Lactobacillus acidophilus (firmicutes),Lactobacillus acidophilus,,QAHR01,Commercial dietary supplements
GCF_003061985.1,DS5_1A,Lactobacillus acidophilus (firmicutes),Lactobacillus acidophilus,,QAHP01,Commercial dietary supplements
GCF_003061945.1,DS8_1A,Lactobacillus acidophilus (firmicutes),Lactobacillus acidophilus,,QAHO01,Commercial dietary supplements
GCF_003061925.1,DS9_1A,Lactobacillus acidophilus (firmicutes),Lactobacillus acidophilus,,QAHN01,Commercial dietary supplements
GCF_003061905.1,DS13_1B,Lactobacillus acidophilus (firmicutes),Lactobacillus acidophilus,,QAHM01,Commercial dietary supplements
GCF_003061885.1,DS20_1,Lactobacillus acidophilus (firmicutes),Lactobacillus acidophilus,,QAHL01,Commercial dietary supplements
GCF_003061845.1,DS12_8,Lactobacillus helveticus (firmicutes),Lactobacillus helveticus,,QAHJ01,Commercial dietary supplements
GCF_003061865.1,DS13_7,Lactobacillus fermentum (firmicutes),Lactobacillus fermentum,,QAHK01,Commercial dietary supplements
GCF_003076435.1,plantarum,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,,weaned piglets
GCF_003065345.1,DS17_10,Lactobacillus reuteri (firmicutes),Lactobacillus reuteri,,QAZM01,Commercial dietary supplements
GCF_003064585.1,DS22_10,Lactobacillus reuteri (firmicutes),Lactobacillus reuteri,,QAZL01,Commercial dietary supplements
GCF_003062185.1,DS1_6,Lactobacillus sp. DS1_6 (firmicutes),Lactobacillus sp. DS1_6,,QAHZ01,Commercial dietary supplements
GCF_003062145.1,DS3_6,Lactobacillus sp. DS3_6 (firmicutes),Lactobacillus sp. DS3_6,,QAHX01,Commercial dietary supplements
GCF_003062125.1,DS9_6,Lactobacillus sp. DS9_6 (firmicutes),Lactobacillus sp. DS9_6,,QAHY01,Commercial dietary supplements
GCF_003062105.1,DS15_6,Lactobacillus sp. DS15_6 (firmicutes),Lactobacillus sp. DS15_6,,QAHV01,Commercial dietary supplements
GCF_003062085.1,DS2_6,Lactobacillus sp. DS2_6 (firmicutes),Lactobacillus sp. DS2_6,,QAHU01,Commercial dietary supplements
GCF_003062065.1,DS22_6,Lactobacillus sp. DS22_6 (firmicutes),Lactobacillus sp. DS22_6,,QAHW01,Commercial dietary supplements
GCF_003062045.1,DS1_1A,Lactobacillus acidophilus (firmicutes),Lactobacillus acidophilus,,QAHT01,Commercial dietary supplements
GCF_003143915.1,HAC01,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,,White Kimchi (Baek Kimchi)
GCF_003131085.1,SGL 13,Lactobacillus kefiri (firmicutes),Lactobacillus kefiri,,QFFL01,stool
GCF_003096575.1,DSM 28795,Convivina intestini (firmicutes),Convivina intestini,assembly from type material,QEKT01,missing
GCF_003129685.1,A3iob,Lactobacillus salivarius (firmicutes),Lactobacillus salivarius,,QFAS01,
GCF_003129645.1,LR863,Lactobacillus rhamnosus (firmicutes),Lactobacillus rhamnosus,,QFFQ01,fermented milk
GCF_003129615.1,TMC3115,Lactobacillus rhamnosus (firmicutes),Lactobacillus rhamnosus,,QFFR01,fermented milk
GCF_003124125.1,BS-W1,Lactobacillus bambusae (firmicutes),Lactobacillus bambusae,assembly from type material,QCXQ01,traditional fermented Ma-bamboo shoots
GCF_003112615.1,NBRC 113063,Lactobacillus kosoi (firmicutes),Lactobacillus kosoi,assembly from type material,BEXE01,
GCF_003097595.1,LQ80,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,,pig feed from feed plant
GCF_003076495.1,M2,Weissella cibaria (firmicutes),Weissella cibaria,,,feces
GCF_003174915.1,LR17,Lactobacillus reuteri (firmicutes),Lactobacillus reuteri,,QGHQ01,feces
GCF_003174935.1,LR3,Lactobacillus reuteri (firmicutes),Lactobacillus reuteri,,QGIB01,feces
GCF_003174865.1,LR9,Lactobacillus reuteri (firmicutes),Lactobacillus reuteri,,QGHV01,feces
GCF_003174875.1,LR8,Lactobacillus reuteri (firmicutes),Lactobacillus reuteri,,QGHW01,feces
GCF_003174815.1,LR18,Lactobacillus reuteri (firmicutes),Lactobacillus reuteri,,QGHP01,feces
GCF_003174855.1,LR4,Lactobacillus reuteri (firmicutes),Lactobacillus reuteri,,QGHU01,feces
GCF_003173695.1,ESL0183,Lactobacillus helsingborgensis (firmicutes),Lactobacillus helsingborgensis,,,
GCF_003151025.1,ESL0186,Lactobacillus kullabergensis (firmicutes),Lactobacillus kullabergensis,,,
GCF_003150935.1,ESL0185,Lactobacillus apis (firmicutes),Lactobacillus apis,,,
GCF_003149115.1,AGR63,Lactobacillus mucosae (firmicutes),Lactobacillus mucosae,,QGDR01,
GCF_003199005.1,Lpc10,Lactobacillus paracasei (firmicutes),Lactobacillus paracasei,,,Patagonian Merlot Wine
GCF_003184305.1,ZLB004,Lactobacillus brevis (firmicutes),Lactobacillus brevis,,,
GCF_003177075.1,EG9,Lactobacillus paracasei (firmicutes),Lactobacillus paracasei,,,cheese
GCF_003175125.1,LR1,Lactobacillus reuteri (firmicutes),Lactobacillus reuteri,,QGID01,feces
GCF_003175075.1,LR10,Lactobacillus reuteri (firmicutes),Lactobacillus reuteri,,QGHT01,feces
GCF_003175015.1,LR2,Lactobacillus reuteri (firmicutes),Lactobacillus reuteri,,QGIC01,feces
GCF_003175025.1,LR19,Lactobacillus reuteri (firmicutes),Lactobacillus reuteri,,QGHO01,feces
GCF_003174995.1,LR11,Lactobacillus reuteri (firmicutes),Lactobacillus reuteri,,QGIA01,feces
GCF_003174955.1,LR14,Lactobacillus reuteri (firmicutes),Lactobacillus reuteri,,QGHZ01,feces
GCF_003174945.1,LR13,Lactobacillus reuteri (firmicutes),Lactobacillus reuteri,,QGHR01,feces
GCF_003203975.1,FAM8102,Lactobacillus helveticus (firmicutes),Lactobacillus helveticus,,QJOQ01,raw milk cheese
GCF_003203955.1,FAM19188,Lactobacillus helveticus (firmicutes),Lactobacillus helveticus,,QJOO01,Tilsit cheese
GCF_003203915.1,FAM23285,Lactobacillus helveticus (firmicutes),Lactobacillus helveticus,,QJOM01,raw milk cheese
GCF_003203905.1,FAM19191,Lactobacillus helveticus (firmicutes),Lactobacillus helveticus,,QJON01,Gruyere cheese
GCF_003203895.1,FAM1182,Lactobacillus helveticus (firmicutes),Lactobacillus helveticus,,QJOL01,unknown
GCF_003203815.1,FAM22157,Lactobacillus helveticus (firmicutes),Lactobacillus helveticus,,QJOG01,Natural whey culture
GCF_003203875.1,FAM1213,Lactobacillus helveticus (firmicutes),Lactobacillus helveticus,,QJOK01,unknown
GCF_003203805.1,FAM13019,Lactobacillus helveticus (firmicutes),Lactobacillus helveticus,,QJOI01,Gruyere natural whey culture
GCF_003203795.1,FAM22076,Lactobacillus helveticus (firmicutes),Lactobacillus helveticus,,QJOH01,Sbrinz natural whey culture
GCF_003202825.1,ESL0184,Lactobacillus melliventris (firmicutes),Lactobacillus melliventris,,QGLG01,
GCF_003261135.1,LF2,Lactobacillus fermentum (firmicutes),Lactobacillus fermentum,,QLNN01,Regional Tybo cheese
GCF_003258615.1,EBKLp545,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,PZPN01,piglet feces
GCF_003255875.1,CBA7106,Lactobacillus fermentum (firmicutes),Lactobacillus fermentum,,,adult feces
GCF_003255835.1,CBA7131,Leuconostoc mesenteroides (firmicutes),Leuconostoc mesenteroides,,,Korean adult feces
GCF_003254785.1,ZJUNIT8,Lactobacillus curvatus (firmicutes),Lactobacillus curvatus,,,Chinese pickle
GCF_003233715.1,FAM21493,Lactobacillus helveticus (firmicutes),Lactobacillus helveticus,,QKQX01,undefined cheese starter culture
GCF_003204055.1,FAM8106,Lactobacillus helveticus (firmicutes),Lactobacillus helveticus,,QJOS01,raw milk cheese
GCF_003204025.1,FAM14275,Lactobacillus helveticus (firmicutes),Lactobacillus helveticus,,QJOR01,unknown
GCF_003204015.1,FAM14499,Lactobacillus helveticus (firmicutes),Lactobacillus helveticus,,QJOP01,unknown
GCF_003203985.1,FAM1450,Lactobacillus helveticus (firmicutes),Lactobacillus helveticus,,QJOJ01,unknown
GCF_003289085.1,TUCO-5E,Lactobacillus brevis (firmicutes),Lactobacillus brevis,,QMCB01,milk
GCF_003288235.1,WiKim0074,Lactobacillus sakei (firmicutes),Lactobacillus sakei,,,kimchi
GCF_003288215.1,WiKim0073,Lactobacillus sakei (firmicutes),Lactobacillus sakei,,,kimchi
GCF_003288135.1,CR141,Lactobacillus murinus (firmicutes),Lactobacillus murinus,,,
GCF_003288115.1,CR147,Lactobacillus murinus (firmicutes),Lactobacillus murinus,,,
GCF_003286955.1,DSR_M2,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,,kimchi
GCF_003284505.1,32,Weissella confusa (firmicutes),Weissella confusa,,QENM01,saliva
GCF_003269405.1,SK151,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,,kimchi
GCF_003268715.1,LC355,Lactobacillus paracasei (firmicutes),Lactobacillus paracasei,,,cream products
GCF_003264795.1,19,Oenococcus oeni (firmicutes),Oenococcus oeni,,,Patagonian red wine
GCF_003325395.1,nF1,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,,kimchi (traditional fermented korean dish)
GCF_003316955.1,DJ-sa-01,Lactobacillus salivarius (firmicutes),Lactobacillus salivarius,,,small intestine
GCF_003316935.1,SKKU-OGDONS-01,Lactobacillus reuteri (firmicutes),Lactobacillus reuteri,,,small intestine
GCF_003316915.1,Byun-jo-01,Lactobacillus johnsonii (firmicutes),Lactobacillus johnsonii,,,Jejunum
GCF_003316895.1,Byun-re-01,Lactobacillus reuteri (firmicutes),Lactobacillus reuteri,,,Duodenum
GCF_003315575.1,JG141,Lactobacillus gasseri (firmicutes),Lactobacillus gasseri,,PQWW01,endoscopy
GCF_003307315.1,JCM 1025,Lactobacillus gasseri (firmicutes),Lactobacillus gasseri,,BEXJ01,
GCF_003307295.1,JCM 5344,Lactobacillus paragasseri (firmicutes),Lactobacillus paragasseri,,BEXI01,
GCF_003307275.1,JCM 5343,Lactobacillus paragasseri (firmicutes),Lactobacillus paragasseri,assembly from type material,BEXH01,
GCF_003307255.1,JCM 1130,Lactobacillus paragasseri (firmicutes),Lactobacillus paragasseri,,BEXG01,
GCF_003346075.1,KMB_621,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,QMJU01,bryndza cheese
GCF_003346085.1,KMB_618,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,QMJR01,bryndza cheese
GCF_003346015.1,KMB_623,Lactobacillus paracasei (firmicutes),Lactobacillus paracasei,,QMJW01,bryndza cheese
GCF_003346025.1,KMB_622,Lactobacillus paracasei (firmicutes),Lactobacillus paracasei,,QMJV01,bryndza cheese
GCF_003345725.1,WIKIM12,Lactobacillus brevis (firmicutes),Lactobacillus brevis,,QQPA01,kimchi
GCF_003345375.1,TMW 1.1478,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,,honey
GCF_003344845.1,CGMCC12436,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,QPQS01,yogurt-like dairy product
GCF_003344825.1,CCFM605,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,QPQR01,yogurt-like dairy product
GCF_003326615.1,MBT 92059,Lactobacillus delbrueckii subsp. bulgaricus (firmicutes),Lactobacillus delbrueckii,,QOVB01,milk
GCF_003325775.1,CRL 681,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,QOSF01,Argentinean dry fermented sausages
GCF_003346325.1,KMB_612,Lactobacillus fermentum (firmicutes),Lactobacillus fermentum,,QMJL01,bryndza cheese
GCF_003346315.1,KMB_613,Lactobacillus fermentum (firmicutes),Lactobacillus fermentum,,QMJM01,bryndza cheese
GCF_003346265.1,KMB_616,Lactobacillus paracasei (firmicutes),Lactobacillus paracasei,,QMJP01,bryndza cheese
GCF_003346235.1,KMB_619,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,QMJS01,bryndza cheese
GCF_003346245.1,KMB_620,Lactobacillus brevis (firmicutes),Lactobacillus brevis,,QMJT01,bryndza cheese
GCF_003346165.1,KMB_608,Leuconostoc mesenteroides subsp. mesenteroides (firmicutes),Leuconostoc mesenteroides,,QMJH01,sheep milk
GCF_003346155.1,KMB_609,Leuconostoc mesenteroides subsp. mesenteroides (firmicutes),Leuconostoc mesenteroides,,QMJI01,bryndza cheese
GCF_003346175.1,KMB_597,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,QMJE01,ovine cheese
GCF_003346095.1,KMB_615,Lactobacillus brevis (firmicutes),Lactobacillus brevis,,QMJO01,bryndza cheese
GCF_003346105.1,KMB_614,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,QMJN01,bryndza cheese
GCF_003363255.1,KCTC 3751,Weissella thailandensis (firmicutes),Weissella thailandensis,assembly from type material,QRAY01,fermented fish
GCF_003353445.1,CECT 7031,Weissella soli (firmicutes),Weissella soli,,QRAS01,missing
GCF_003353455.1,GG,Lactobacillus rhamnosus GG (firmicutes),Lactobacillus rhamnosus,,,feces
GCF_003352125.1,b-2,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,,pickle
GCF_003351805.1,L99,Lactobacillus delbrueckii subsp. bulgaricus (firmicutes),Lactobacillus delbrueckii,,,Bulgarian homemade fermented milk
GCF_003347455.1,201,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,QBKX01,tropical fruit
GCF_003346795.1,LDTM 7301,Lactobacillus fermentum (firmicutes),Lactobacillus fermentum,,,Makgeollli
GCF_003346405.1,KMB_599,Lactobacillus paraplantarum (firmicutes),Lactobacillus paraplantarum,,QMJG01,sheep milk
GCF_003346375.1,KMB_610,Leuconostoc pseudomesenteroides (firmicutes),Leuconostoc pseudomesenteroides,,QMJJ01,bryndza cheese
GCF_003346345.1,KMB_611,Leuconostoc mesenteroides subsp. mesenteroides (firmicutes),Leuconostoc mesenteroides,,QMJK01,bryndza cheese
GCF_003413685.1,TMW 1.411,Lactobacillus sakei (firmicutes),Lactobacillus sakei,,QOSE01,Sauerkraut
GCF_003429405.1,SS1-3,Pediococcus pentosaceus (firmicutes),Pediococcus pentosaceus,,,Korean adult feces
GCF_003428395.1,IDCC9203,Lactobacillus johnsonii (firmicutes),Lactobacillus johnsonii,,,Infant feces
GCF_003428355.1,IDCC3501,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,,kimchi
GCF_003423665.1,DSM 24759,Lactobacillus rodentium (firmicutes),Lactobacillus rodentium,assembly from type material,BFBY01,
GCF_003413665.1,LR CGMCC No.11154,Lactobacillus reuteri (firmicutes),Lactobacillus reuteri,,QRDF01,feces
GCF_003410375.1,TMW 1.1928,Lactobacillus curvatus (firmicutes),Lactobacillus curvatus,,,raw fermented sausage
GCF_003369815.1,JCM 5668,Lactobacillus sanfranciscensis (firmicutes),Lactobacillus sanfranciscensis,assembly from type material,QRFO01,San Francisco sourdough
GCF_003368395.1,KCTC 3543,Lactobacillus fructivorans KCTC 3543 = DSM 20203 (firmicutes),Lactobacillus fructivorans,,QSLO01,not available
GCF_003367655.1,KMB_598,Lactobacillus paracasei subsp. paracasei (firmicutes),Lactobacillus paracasei,,QMJF01,goat cheese
GCF_003466065.1,AF03-13,Weissella confusa (firmicutes),Weissella confusa,,QSBT01,feces
GCF_003465905.1,AF08-3,Lactobacillus amylovorus (firmicutes),Lactobacillus amylovorus,,QSAX01,feces
GCF_003464285.1,AF15-40LB,Lactobacillus fermentum (firmicutes),Lactobacillus fermentum,,QRYM01,feces
GCF_003462755.1,AF16-22LB,Lactobacillus fermentum (firmicutes),Lactobacillus fermentum,,QRYA01,feces
